area_id,city_id,grade,fill,label,name,category_i,area,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,averagetemp_mean,tree2013_mean,imperv2021_mean,imperv2013_mean,pop_density_2021,pop_density_2013,house_density_2021,house_density_2013,building_density_2021,white_percent_2021,white_percent_2013,black_percent_2021,black_percent_2013,nonwhite_percent_2021,nonwhite_percent_2013,hispanic_percent_2021,hispanic_percent_2013,holc_area,building_area_2021
6070,128,C,#ffff00,C36,,3,6.13E-05,0.043185984,6.14E-05,32.92724536,33.65272011,33.49164592,45.37065637,33.3572038,47.93050193,36.59459459,36.61389961,1176.29,1859.17,941,1020.58,11.06783788,77.07,76.29,3.03,2.83,22.93,23.71,13.27,4.14,533034.9213,58995.44094
6071,128,B,#7cb5bd,B27,Washington Park,2,1.50E-05,0.015371307,1.50E-05,33.31134536,35.04940853,32.87725682,29.24285714,33.74600357,29.05714286,62.44285714,62.82857143,4058.06,5359.7,608,4058.06,27.88180914,80,74.14,2.89,3.14,19.87,25.86,5,12.71,130604.8018,36414.98156
6072,128,A,#76a865,A5,Westover Terrace,1,6.11E-05,0.057838593,6.12E-05,33.7584651,34.60634769,34.09635062,43.228,34.15372114,45.088,38.212,38.032,956.76,1806.17,804,981.25,15.97863146,86.17,82.06,0.86,0.94,13.72,17.94,3.75,3.55,530959.8387,84840.11581
6073,128,A,#76a865,A6,Kings Heights,1,3.01E-05,0.034398596,3.01E-05,34.35555047,35.0613716,34.13394884,46.2195122,34.51695697,46.69918699,29.7398374,29.94308943,856.41,1644,367,875.52,14.19354027,87.17,82.09,0,0.93,12.83,17.91,3.56,2.56,261558.8096,37124.45498
6074,128,A,#76a865,A7,Arlington Heights,1,5.71E-05,0.045984452,5.71E-05,27.80769228,28.41075919,28.01255986,60.93073593,28.07700377,62.01298701,17.75757576,18.00865801,350.99,560.78,287,318.72,8.557698909,84.91,85.61,0.3,1.08,15.09,14.39,8.28,6.83,495737.706,42423.74026
6075,128,A,#76a865,A8,The Highlands,1,3.77E-05,0.028749924,3.77E-05,27.76560791,29.48401747,28.44579389,57.55,28.56513976,59.30625,22.3375,22.90625,226.28,550.4,130,241.57,7.232117187,80.75,83.33,0,6.67,19.25,16.11,6.21,2.78,327033.4715,23651.4439
6076,128,B,#7cb5bd,B26,Willamette Heights,2,7.78E-05,0.096197757,7.78E-05,32.66106706,34.15706117,33.1586738,39.46202532,33.32560067,41.22468354,38.72151899,38.67405063,2300.01,3462.61,2019,2077.86,16.91388463,80.57,80.58,5.43,1.71,19.43,19.42,4.91,9.37,675215.9601,114205.2485
6077,128,C,#ffff00,C33,Northern Goldsmith Addition,3,9.02E-05,0.078071109,9.03E-05,39.91011781,40.74553886,39.61702259,22.25396825,40.09089309,24.79365079,68.61904762,69.01322751,4250,6296.53,3846,4190.03,30.43078989,82.11,78.8,2.84,1.01,17.89,21.2,7.07,10.03,783769.2815,238507.1832
6078,128,D,#d9838d,D6,Northwest Side,4,0.000115742,0.067477321,0.000115743,42.11787389,43.55173328,42.668365,8.397565923,42.77932406,9.45841785,82.53549696,82.68559838,3772.85,3591.72,4314,2549.73,32.14376995,79.36,76.25,1.88,4.29,20.64,23.75,9.69,7.98,1004815.753,322985.6641
6079,128,C,#ffff00,C22,Richmond,3,0.000176251,0.117226163,0.000176333,39.67414495,41.27439977,39.75855969,28.02902375,40.23570147,28.2994723,63.04881266,63.49340369,1927.52,3578.19,5360,1676.14,23.58111658,82.18,85.58,1.98,2.46,17.83,14.42,11.62,3.03,1531505.665,361146.1364
6080,128,D,#d9838d,D5,Richmond,4,0.000212778,0.084350223,0.000212927,39.72150007,41.23887308,40.10181176,28.32555426,40.35406164,28.80980163,62.37339557,63.17269545,1729.62,2985.61,5801,1449.01,24.22882983,83.84,84.9,0.35,0.63,16.16,15.12,6.82,2.64,1849554.158,448125.3295
6081,128,B,#7cb5bd,B13,Colonial Heights,2,5.94E-05,0.033274208,5.94E-05,38.17881947,39.84104532,38.77761385,30.97975709,38.93249288,31.13360324,56.34817814,57.19838057,1745.47,3809,1754,1735.77,21.10317786,89.72,83.45,0,0.81,10.23,16.55,4.09,4.53,515621.4378,108812.5091
6082,128,D,#d9838d,D4,Central East Side and Sunnyside,4,0.000285699,0.187936934,0.000285643,38.67694247,40.70484306,39.33133309,20.24217463,39.57103954,22.17133443,70.75041186,71.48682043,2964.14,3954.75,9083,2264.64,28.10588299,79.61,89.29,1.88,1.02,20.39,10.7,12.46,4.4,2480319.04,697115.5671
6083,128,C,#ffff00,C21,Sunnnyside,3,0.000121785,0.099448553,0.000121853,38.57560886,40.56609281,39.36967188,26.88362919,39.50379118,27.39053254,65.26035503,66.234714,2351.37,4427.73,4278,2224.73,24.18291522,88.5,85.38,0.93,0.23,11.48,14.62,4.8,6,1058107.643,255881.2743
6084,128,B,#7cb5bd,B22,Mt. Tabor,2,0.000125519,0.066398751,0.000125488,38.52724388,39.80021219,38.57363129,35.05675147,38.96702912,35.85127202,55.45205479,55.87671233,1381.85,2744.43,3129,1280,20.40860479,86.44,91.04,2.04,0.6,13.56,8.96,4.53,1.64,1089849.554,222423.0883
6085,128,C,#ffff00,C26,Mt. Tabor District,3,8.82E-05,0.043175613,8.82E-05,40.20890972,41.8200789,40.50257461,22.54155496,40.84385441,23.97855228,58.73726542,57.10991957,1506.83,2635.31,2170,1309.83,19.09913978,81.06,79.11,1.05,1.78,18.94,20.89,9.41,6.63,766514.1106,146397.6014
6086,128,C,#ffff00,C27,Mt. Tabor District,3,0.00021393,0.077786714,0.000213925,40.51524976,40.63970231,39.8352062,24.06927374,40.33005276,24.74860335,56.8125,57.18080357,1344.89,2796.87,4422,1282.46,19.92412215,76.68,73.35,3.87,5.18,23.31,26.65,12.17,6.39,1858155.103,370221.0924
