area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,imperv2021_mean,averagetemp_mean,building_area,building_density
6086,128,C,#ffff00,C27,Mt. Tabor District,3,1,0.00021393,"[[45.4977,-122.59952],[45.51532,-122.57887]]","[45.502,-122.589]",-1,0,0,0.077786714,0.000213925,40.51524976,40.63970231,39.8352062,24.06927374,56.8125,40.33005276,370221.0924,19.92412215
6087,128,C,#ffff00,C31,Kelly Butte,3,1,0.000120649,"[[45.4945,-122.57902],[45.50468,-122.56485]]","[45.5,-122.574]",-1,0,0,0.047490139,0.000120719,41.56688907,41.3330965,40.69882592,17.30923695,60.98795181,41.19960383,171005.3116,16.30736889
6088,128,C,#ffff00,C30,Montavilla,3,1,0.000184098,"[[45.50888,-122.59385],[45.52305,-122.56875]]","[45.515,-122.582]",-1,0,0,0.107961381,0.00018421,41.03626775,41.19763774,40.17770933,24.44488712,61.45212766,40.80387161,318942.5817,19.93808904
6089,128,C,#ffff00,C25,Mt. Tabor District,3,1,0.000188495,"[[45.51615,-122.61496],[45.52614,-122.58112]]","[45.522,-122.603]",-1,0,0,0.112115726,0.000188421,37.58871256,38.69786005,37.42759089,30.55512322,57.61867704,37.90472116,337864.9633,20.65012278
6090,128,C,#ffff00,C14,Pruneville,3,1,0.000126677,"[[45.51719,-122.56884],[45.53981,-122.55791]]","[45.524,-122.566]",-1,0,0,0.065838601,0.000126661,42.00092878,42.07954324,41.60346188,11.14097744,64.81203008,41.89464463,150039.9056,13.64326676
6092,128,C,#ffff00,C13,Eastern Rose City Park,3,1,6.02E-05,"[[45.54459,-122.5797],[45.55283,-122.56819]]","[45.547,-122.576]",-1,0,0,0.042526854,6.02E-05,37.75605312,38.1034094,37.15661786,25.54201681,53.33613445,37.67202679,90511.21117,17.3209945
6093,128,B,#7cb5bd,B24,Rose City Park,2,1,6.35E-05,"[[45.54154,-122.58898],[45.55196,-122.57849]]","[45.547,-122.583]",-1,0,0,0.038246807,6.35E-05,41.20981991,41.84101427,39.82874994,20.33333333,57.9469697,40.95986137,113152.1584,20.54159659
6094,128,B,#7cb5bd,B23,Rose City Park,2,1,4.67E-05,"[[45.53769,-122.60479],[45.54383,-122.58896]]","[45.539,-122.603]",-1,0,0,0.041376398,4.67E-05,41.53339247,41.70144512,40.49716274,24.35897436,56.96923077,41.24400011,79841.95289,19.70496713
6095,128,B,#7cb5bd,B21,Rose City Park,2,1,0.000227636,"[[45.54283,-122.62057],[45.55554,-122.57894]]","[45.549,-122.596]",-1,0,0,0.141424426,0.000227634,41.40003943,40.96710698,39.83024672,25.54692557,56.36893204,40.73246438,400961.1088,20.29526602
6097,128,B,#7cb5bd,B20,Rose City Park,2,1,0.000133782,"[[45.5277,-122.62479],[45.54191,-122.59611]]","[45.535,-122.611]",-1,0,0,0.08619925,0.000133872,41.28748492,41.8176578,41.00227014,24.78723404,62.20212766,41.36913762,248622.9725,21.39226354
6098,128,C,#ffff00,C11,,3,1,0.000144417,"[[45.52687,-122.60218],[45.53369,-122.57606]]","[45.53,-122.582]",-1,0,0,0.076871527,0.000144428,41.51516303,41.92456587,40.84238276,19.38385502,62.89291598,41.42737055,254417.1174,20.29075901
6099,128,B,#7cb5bd,B19,Laurelhurst,2,1,0.000209131,"[[45.51651,-122.63184],[45.53383,-122.612]]","[45.528,-122.624]",-1,0,0,0.088951533,0.000209172,37.79027216,39.24425126,37.98036068,36.8587963,53.17013889,38.3382947,376620.2609,20.7369894
6100,128,D,#d9838d,D2,Lower Albina,4,1,0.000208012,"[[45.52859,-122.67625],[45.54832,-122.66224]]","[45.542,-122.669]",-1,0,0,0.061914419,0.00020808,39.43860195,40.99721907,40.14746132,13.53686636,73.51612903,40.19442744,431932.8827,23.9133976
6101,128,D,#d9838d,D1,Albina,4,1,0.000145938,"[[45.54764,-122.67932],[45.55688,-122.66217]]","[45.552,-122.675]",-1,0,0,0.051653538,0.000145925,39.34329616,40.44171486,39.4117515,22.49019608,62.74346405,39.73225417,275663.9646,21.76699493
6102,128,C,#ffff00,C6,Lower Piedmont and Outlook,3,1,0.000191657,"[[45.54762,-122.69237],[45.5625,-122.66213]]","[45.559,-122.666]",-1,0,0,0.099865328,0.000191703,38.77334132,40.77316786,39.43036072,20.28497409,62.41450777,39.65895663,334501.4195,20.10736445
6103,128,B,#7cb5bd,B5,Outlook Park,2,1,4.49E-05,"[[45.54797,-122.69201],[45.55461,-122.68152]]","[45.551,-122.685]",-1,0,0,0.029393981,4.49E-05,37.97736991,37.89661919,38.21278604,32.15508021,45.81283422,38.02892505,60106.7152,15.43429342
6104,128,B,#7cb5bd,B3,Madrona Park,2,1,1.12E-05,"[[45.55901,-122.69791],[45.56278,-122.69229]]","[45.561,-122.694]",-1,0,0,0.01655838,1.12E-05,38.08290128,38.7870134,38.40761318,16.64583333,66.35416667,38.42584262,16980.12477,17.46857648
6105,128,C,#ffff00,C4,Madrona Park and Lower Kenton,3,1,0.000148283,"[[45.56274,-122.69955],[45.57679,-122.67478]]","[45.567,-122.691]",-1,0,0,0.094213584,0.000148429,38.81798921,40.04612652,38.8065246,21.56730769,58.03044872,39.22354677,233596.6316,18.13915174
6106,128,B,#7cb5bd,B4,Peninsula,2,1,5.37E-05,"[[45.56641,-122.69154],[45.57687,-122.68282]]","[45.574,-122.687]",-1,0,0,0.043575291,5.36E-05,39.02012236,41.26917952,40.00701867,20.02242152,60.35426009,40.09877352,95995.12365,20.62635877
